,Position,Company Name,YOE,CTC,location
9,Data Science (OCR/Document Conversion) - Analyst / Senior Analyst,BLUCOGNITION PRIVATE LIMITED,1-4 Yrs,Not disclosed,Pune(WFH during Covid)
10,Data Science Manager- Artificial Intelligence,Spectral Consultants -Search and Recruitments Firm,9-14 Yrs,Not disclosed,"Pune, Gurgaon/Gurugram, Bangalore/Bengaluru"
11,Data science-subha- Brillio,CHANGE LEADERS CONSULTING,5-8 Yrs,Not disclosed,Bangalore/Bengaluru
12,Excellent opportunity For Data Science in Pune For a MNC,Peoplefy Infosolutions Pvt. Ltd.,0-4 Yrs,Not disclosed,Pune(Kharadi)
13,ACN - Applied Intelligence - Solutions.AI - Data Science - 11,Accenture,1-6 Yrs,Not disclosed,Bangalore/Bengaluru
14,ACN - Applied Intelligence - Solutions.AI - Data Science - 11,Accenture,1-6 Yrs,Not disclosed,Bangalore/Bengaluru
15,ACN - Applied Intelligence - CC - Data Science (IN) - 09,Accenture,0-5 Yrs,Not disclosed,Gurgaon/Gurugram
16,Hiring Freshers | Data Science Fresher,E-con systems India Pvt Ltd,0-0 Yrs,"4,25,000 - 6,00,000 PA.",Chennai
17,BUSINESS ANALYST -DATA SCIENCE-CONSUMER,BRIDGEi2i Analytics Solutions Private Limited,0-2 Yrs,Not disclosed,Bangalore/Bengaluru
18,Data Science Application Lead,Accenture,8-10 Yrs,Not disclosed,Hyderabad/Secunderabad
19,Senior Manager Data Science,Optum,15-25 Yrs,Not disclosed,Hyderabad/Secunderabad
0,Data Science - Associate Principal Consultant,Allstate,8-12 Yrs,Not disclosed,Bangalore/Bengaluru
1,Data Science Job @ Applied Materials - Bangalore,Applied Materials,4-9 Yrs,Not disclosed,Bangalore/Bengaluru(Whitefield)
2,Data Science Application Developer,Accenture,6-8 Yrs,Not disclosed,Bangalore/Bengaluru
3,Sr Associate (Data Science),IHS Markit,4-5 Yrs,Not disclosed,Gurgaon/Gurugram
4,Data Science and Advanced Analytics Lead,"Qualcomm Technologies, Inc",2-6 Yrs,Not disclosed,Hyderabad/Secunderabad
5,Brand Technical Specialist - Data Science & Data Governance,IBM,10-15 Yrs,Not disclosed,Mumbai
6,Data Science Analyst Fresh Graduates,TELEMAN INSTITUTE OF WIRELESS TECHNOLOGIES PVT LTD D.,0-3 Yrs,"5,00,000 - 5,50,000 PA.","Hyderabad/Secunderabad, Pune, Bangalore/Bengaluru"
7,Technical Lead - Data Science,Talent Acceleration Corridor,6-8 Yrs,Not disclosed,"Gurgaon/Gurugram, Delhi / NCR"
8,Data Science – Delivery Lead,PlaceMinds Consulting Pvt. Ltd,7-12 Yrs,Not disclosed,"Mumbai, Pune"
9,Expert Data Science,Novartis Healthcare,2-5 Yrs,Not disclosed,Hyderabad/Secunderabad
10,ACN - Applied Intelligence - CC - Data Science - 10,Accenture,3-4 Yrs,Not disclosed,Gurgaon/Gurugram
11,ACN - Applied Intelligence - CC - Data Science (IN) - 10,Accenture,3-4 Yrs,Not disclosed,Gurgaon/Gurugram
12,ACN - Applied Intelligence - CC - Data Science (IN) - 10,Accenture,3-4 Yrs,Not disclosed,Gurgaon/Gurugram
13,"Principal, Quantitative Analytics and Data Science",Gartner,2-7 Yrs,Not disclosed,Gurgaon/Gurugram
14,Data Science : Analyst - Manager,Aye Finance (P) Ltd,0-3 Yrs,Not disclosed,Gurgaon/Gurugram
15,Sr. Associate - Content Data Science,upGrad,1-5 Yrs,"7,00,000 - 15,00,000 PA.","Bangalore/Bengaluru, Mumbai (All Areas)"
16,Data Science Application Lead,Accenture,6-8 Yrs,Not disclosed,Bangalore/Bengaluru
17,Senior Data Science Engineer,Siemens,0-5 Yrs,Not disclosed,Bangalore/Bengaluru
18,Data Science Lead - Finance,Mad Street Den,2-6 Yrs,Not disclosed,Chennai
19,Manager Data Science,NEC CORPORATION INDIA PRIVATE LIMITED,8-13 Yrs,"9,00,000 - 19,00,000 PA.",Noida
0,Junior Data Science Professional,Harmony Data Integration Technologies,1-3 Yrs,Not disclosed,Chandigarh
1,Data Science Application Developer,Accenture,8-10 Yrs,Not disclosed,Chennai
2,Data Science Head / Director,MAAHI COGNITIVE WELLBEING LLP,14-20 Yrs,"45,00,000 - 50,00,000 PA.",Hyderabad/Secunderabad(WFH during Covid)
3,Director Data Science,Optum,15-18 Yrs,Not disclosed,Noida
4,AI-ML Lead,Technossus Software Services  Pvt. Ltd,9-14 Yrs,"15,00,000 - 27,50,000 PA.","Mohali/SAS Nagar, Chandigarh, Pune(WFH during Covid)"
5,Merilytics - Manager - Data Science - IIT/BITS/NIT,Meritus Intelytics Private Limited,2-5 Yrs,Not disclosed,Hyderabad/Secunderabad(Kondapur +1)
6,ACN - Applied Intelligence - GCP - Data Science - 07,Accenture,8-10 Yrs,Not disclosed,Gurgaon/Gurugram
7,Data Analyst - Data Science (hiring in top MNC),Krazy Mantra HR Solutions Pvt. Ltd,5-9 Yrs,Not disclosed,Bangalore/Bengaluru
8,Associate/Sr. Associate Manager Safety Data Sciences,Eli Lilly and Company,3-7 Yrs,Not disclosed,Bangalore/Bengaluru
9,Opportunity Discussion -Senior Analyst Data Sciences,MAUVETIX SOLUTIONS PRIVATE LIMITED,3-6 Yrs,"7,00,000 - 9,50,000 PA.",Hyderabad/Secunderabad
10,Data Science - Contract To Hire,Successr HR Tech PVT LTD,4-8 Yrs,Not disclosed,Bangalore/Bengaluru(WFH during Covid)
11,Data Science Digital Data Engineering Practitioner,Accenture,15-18 Yrs,Not disclosed,Bangalore/Bengaluru
12,Looking For Data science Engineer For Hyderabad Location,MOURI Tech,5-10 Yrs,"10,00,000 - 20,00,000 PA.","Hyderabad/Secunderabad, Bangalore/Bengaluru(WFH during Covid)"
13,Data Science Analyst - Technical,Accenture,3-5 Yrs,Not disclosed,Bangalore/Bengaluru
14,Data Science,CHANGE LEADERS CONSULTING,5-9 Yrs,Not disclosed,Bangalore/Bengaluru
15,Data Science,CHANGE LEADERS CONSULTING,5-9 Yrs,Not disclosed,"Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru"
16,Deputy Manager Data Science,FUTURES AND CAREERS,8-12 Yrs,"15,00,000 - 25,00,000 PA.",Bangalore/Bengaluru
17,Data Science Manager,Dreamz Consultants,11-16 Yrs,Not disclosed,"Noida, Pune, Bangalore/Bengaluru"
18,Consultant- Data Science,CHANGE LEADERS CONSULTING,4-6 Yrs,Not disclosed,"Hyderabad/Secunderabad, Bangalore/Bengaluru"
19,Data Science,VEGA Intellisoft Private Limited,4-8 Yrs,Not disclosed,"Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru"
0,ACN - Applied Intelligence - Solutions.AI - Data Science - 09,Accenture,2-5 Yrs,Not disclosed,Bangalore/Bengaluru
1,Machine Learning Data Science Practitioner,Accenture,15-18 Yrs,Not disclosed,Bangalore/Bengaluru
2,Machine Learning Data Science Practitioner,Accenture,12-15 Yrs,Not disclosed,Bangalore/Bengaluru
